Unnamed: 0,bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
245,9,9263,1,2,1,1,24.0,17.0,2020-04-29 09:15:00
246,9,9271,2,11,5,2,8.0,27.0,2020-04-29 09:15:00
247,9,9272,2,1,0,2,13.0,10.0,2020-04-29 09:15:00
248,9,9273,3,3,1,3,17.0,9.0,2020-04-29 09:15:00
249,9,9274,1,2,2,1,4.0,6.0,2020-04-29 09:15:00
250,9,9275,2,5,5,2,12.0,19.0,2020-04-29 09:15:00
251,9,9276,2,3,1,2,11.0,14.0,2020-04-29 09:15:00
252,9,9277,2,10,10,2,18.0,19.0,2020-04-29 09:15:00
253,9,9278,2,10,4,2,23.0,12.0,2020-04-29 09:15:00
254,9,9279,2,2,2,2,8.0,9.0,2020-04-29 09:15:00
255,9,9361,1,4,3,1,19.0,15.0,2020-04-29 09:15:00
256,9,9362,4,52,39,4,88.0,262.0,2020-04-29 09:15:00
257,9,9363,1,20,11,1,17.0,64.0,2020-04-29 09:15:00
258,9,9371,1,2,2,1,9.0,5.0,2020-04-29 09:15:00
259,9,9372,1,1,1,1,9.0,8.0,2020-04-29 09:15:00
260,9,9373,1,4,4,1,15.0,20.0,2020-04-29 09:15:00
261,9,9375,2,3,3,2,2.0,12.0,2020-04-29 09:15:00
262,9,9376,3,9,9,3,16.0,22.0,2020-04-29 09:15:00
263,9,9461,4,5,4,1,37.0,25.0,2020-04-29 09:15:00
264,9,9462,5,8,8,2,14.0,52.0,2020-04-29 09:15:00
265,9,9463,1,6,1,1,13.0,23.0,2020-04-29 09:15:00
266,9,9464,1,0,0,1,21.0,21.0,2020-04-29 09:15:00
267,9,9471,2,3,2,2,11.0,7.0,2020-04-29 09:15:00
268,9,9472,1,1,1,1,6.0,4.0,2020-04-29 09:15:00
269,9,9474,2,1,1,2,10.0,15.0,2020-04-29 09:15:00
270,9,9475,2,4,4,2,8.0,9.0,2020-04-29 09:15:00
271,9,9476,1,1,1,1,4.0,13.0,2020-04-29 09:15:00
272,9,9477,1,6,5,1,6.0,32.0,2020-04-29 09:15:00
273,9,9478,2,6,2,2,13.0,16.0,2020-04-29 09:15:00
274,9,9479,2,4,4,2,18.0,7.0,2020-04-29 09:15:00
275,9,9561,2,2,2,2,17.0,14.0,2020-04-29 09:15:00
276,9,9562,3,12,10,3,53.0,123.0,2020-04-29 09:15:00
277,9,9563,2,5,5,2,31.0,21.0,2020-04-29 09:15:00
278,9,9564,8,23,13,6,98.0,150.0,2020-04-29 09:15:00
279,9,9571,3,6,4,3,18.0,16.0,2020-04-29 09:15:00
280,9,9572,1,0,0,1,0.0,6.0,2020-04-29 09:15:00
281,9,9574,3,4,3,3,9.0,16.0,2020-04-29 09:15:00
282,9,9575,3,1,1,2,34.0,45.0,2020-04-29 09:15:00
283,9,9576,1,1,0,1,5.0,7.0,2020-04-29 09:15:00
284,9,9577,2,2,2,2,6.0,10.0,2020-04-29 09:15:00
285,9,9661,2,14,11,1,7.0,59.0,2020-04-29 09:15:00
286,9,9662,2,13,12,2,2.0,46.0,2020-04-29 09:15:00
287,9,9663,3,15,12,3,59.0,94.0,2020-04-29 09:15:00
288,9,9671,1,3,0,1,5.0,5.0,2020-04-29 09:15:00
289,9,9672,4,6,3,4,18.0,44.0,2020-04-29 09:15:00
290,9,9673,1,16,9,1,35.0,129.0,2020-04-29 09:15:00
291,9,9674,2,2,2,2,8.0,8.0,2020-04-29 09:15:00
292,9,9675,1,1,1,1,7.0,5.0,2020-04-29 09:15:00
293,9,9676,1,0,0,1,6.0,8.0,2020-04-29 09:15:00
294,9,9677,1,3,0,1,1.0,7.0,2020-04-29 09:15:00
295,9,9678,2,0,0,2,6.0,2.0,2020-04-29 09:15:00
296,9,9679,1,2,2,1,4.0,8.0,2020-04-29 09:15:00
297,9,9761,4,6,4,3,47.0,112.0,2020-04-29 09:15:00
298,9,9762,1,2,2,1,11.0,20.0,2020-04-29 09:15:00
299,9,9763,1,1,1,1,3.0,21.0,2020-04-29 09:15:00
300,9,9764,1,0,0,1,10.0,21.0,2020-04-29 09:15:00
